,ch-free,chi-inuse,imp(%),osg-inuse
2021-07-16 16:42:46.363310+00:00,273,1,0.0,0
2021-07-16 16:42:46.442184+00:00,273,1,0.0,0
2021-07-16 16:42:46.512933+00:00,273,1,0.0,0
2021-07-16 16:42:46.588326+00:00,273,1,0.0,0
2021-07-16 16:42:46.661210+00:00,273,1,0.0,0
2021-07-16 16:42:46.733827+00:00,273,1,0.0,0
2021-07-16 16:42:46.804893+00:00,273,1,0.0,0
2021-07-16 16:42:46.863521+00:00,273,1,0.0,0
2021-07-16 16:42:46.931207+00:00,273,1,0.0,0
2021-07-16 16:42:47.000706+00:00,261,13,0.0,0
2021-07-16 16:42:47.084122+00:00,260,14,0.0,0
2021-07-16 16:42:47.152152+00:00,260,14,0.0,0
2021-07-16 16:42:47.216869+00:00,259,15,0.0,0
2021-07-16 16:42:47.255182+00:00,260,14,0.0,0
2021-07-16 16:42:47.321685+00:00,260,14,0.0,0
2021-07-16 16:42:47.390983+00:00,260,14,0.0,0
2021-07-16 16:42:47.465731+00:00,260,14,0.0,0
2021-07-16 16:42:47.538891+00:00,260,14,0.0,0
2021-07-16 16:42:47.608268+00:00,260,14,0.0,0
2021-07-16 16:42:47.682547+00:00,260,14,0.0,0
2021-07-16 16:42:47.748493+00:00,272,2,0.0,0
2021-07-16 16:42:47.783836+00:00,272,2,0.0,0
2021-07-16 16:42:47.832951+00:00,273,1,0.0,0
2021-07-16 16:42:47.897061+00:00,273,1,0.0,0
2021-07-16 16:42:47.959159+00:00,273,1,0.0,0
2021-07-16 16:42:48.036288+00:00,273,1,0.0,0
2021-07-16 16:42:48.101632+00:00,273,1,0.0,0
2021-07-16 16:42:48.173408+00:00,273,1,0.0,0
2021-07-16 16:42:48.240501+00:00,273,1,0.0,0
2021-07-16 16:42:48.305223+00:00,273,1,0.0,0
2021-07-16 16:42:48.372638+00:00,273,1,0.0,0
2021-07-16 16:42:48.441521+00:00,273,1,0.0,0
2021-07-16 16:42:48.514668+00:00,273,1,0.0,0
2021-07-16 16:42:48.580990+00:00,273,1,0.0,0
2021-07-16 16:42:48.645989+00:00,273,1,0.0,0
