EVENT_TIME,EVENT_TIME_SEC,HOST_NAME (PHYSICAL),EVENT,PROPERTIES,node_type
2018-05-30 05:58:06,93160686.0,5e7cecc534ae2b9e2f94ba9f1a4516e8,ENABLE,"{'main_memory.ram_size': '134956859392', 'architecture.smp_size': '2', 'architecture.smt_size': '48', 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'placement.rack': 0, 'node_type': 'compute_haswell'}",compute_haswell
2018-05-31 12:52:36,93271956.0,e1bbd1da86d066c93f6367b6648b8a56,DISABLE,"{'main_memory.ram_size': '134956859392', 'architecture.smt_size': '48', 'node_type': 'compute_haswell', 'architecture.platform_type': 'x86_64', 'architecture.smp_size': '2', 'placement.rack': 0, 'storage_devices.0.size': '250059350016'}",compute_haswell
2018-05-31 12:52:44,93271964.0,fc4af1e05dd5fb93dd5e87e3ea562ec0,DISABLE,"{'architecture.smp_size': '2', 'node_type': 'compute_haswell', 'architecture.smt_size': '48', 'architecture.platform_type': 'x86_64', 'main_memory.ram_size': '134956949504', 'storage_devices.0.size': '250059350016', 'placement.rack': 0}",compute_haswell
2018-07-23 20:09:10,97877350.0,8a7e510394751b0fa7a12c3683426b25,ENABLE,"{'main_memory.ram_size': '134956859392', 'placement.rack': 0, 'storage_devices.0.size': '250059350016', 'node_type': 'compute_haswell', 'architecture.platform_type': 'x86_64', 'architecture.smt_size': '48', 'architecture.smp_size': '2'}",compute_haswell
2018-07-31 20:50:44,98571044.0,fc4af1e05dd5fb93dd5e87e3ea562ec0,ENABLE,"{'architecture.smp_size': '2', 'node_type': 'compute_haswell', 'architecture.smt_size': '48', 'architecture.platform_type': 'x86_64', 'main_memory.ram_size': '134956949504', 'storage_devices.0.size': '250059350016', 'placement.rack': 0}",compute_haswell
2018-07-31 22:20:18,98576418.0,e1bbd1da86d066c93f6367b6648b8a56,ENABLE,"{'main_memory.ram_size': '134956859392', 'architecture.smt_size': '48', 'node_type': 'compute_haswell', 'architecture.platform_type': 'x86_64', 'architecture.smp_size': '2', 'placement.rack': 0, 'storage_devices.0.size': '250059350016'}",compute_haswell
2018-08-01 14:59:39,98636379.0,e00dc720320c55fc78702e404ecfd331,DISABLE,"{'main_memory.ram_size': '134956859392', 'architecture.smt_size': '48', 'storage_devices.0.size': '250059350016', 'architecture.platform_type': 'x86_64', 'architecture.smp_size': '2', 'node_type': 'compute_haswell', 'placement.rack': 1}",compute_haswell
2018-08-01 15:05:52,98636752.0,46ae3db581d5ab42e9ed41fc641dc4d9,DISABLE,"{'main_memory.ram_size': '134956859392', 'architecture.smt_size': '48', 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'architecture.smp_size': '2', 'node_type': 'compute_haswell', 'placement.rack': 1}",compute_haswell
2018-08-20 00:27:19,100225639.0,e634368b4e7b2f628fae228770578e5e,DISABLE,"{'storage_devices.0.size': '250059350016', 'architecture.smp_size': '2', 'placement.rack': 0, 'architecture.smt_size': '48', 'architecture.platform_type': 'x86_64', 'node_type': 'compute_haswell', 'main_memory.ram_size': '134956859392'}",compute_haswell
2018-08-22 17:53:20,100461200.0,a64ca09fb7c53126cbb4dd579f972482,DISABLE,"{'node_type': 'compute_haswell', 'placement.rack': 0, 'main_memory.ram_size': '134956859392', 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'architecture.smp_size': '2', 'architecture.smt_size': '48'}",compute_haswell
2018-08-22 20:28:58,100470538.0,564587403da1c5e22eeda24eae36040f,DISABLE,"{'architecture.platform_type': 'x86_64', 'placement.rack': 0, 'main_memory.ram_size': '134956859392', 'architecture.smt_size': '48', 'storage_devices.0.size': '250059350016', 'architecture.smp_size': '2', 'node_type': 'compute_haswell'}",compute_haswell
2018-08-22 20:46:32,100471592.0,46ae3db581d5ab42e9ed41fc641dc4d9,ENABLE,"{'main_memory.ram_size': '134956859392', 'architecture.smt_size': '48', 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'architecture.smp_size': '2', 'node_type': 'compute_haswell', 'placement.rack': 1}",compute_haswell
2018-08-22 20:46:36,100471596.0,e00dc720320c55fc78702e404ecfd331,ENABLE,"{'main_memory.ram_size': '134956859392', 'architecture.smt_size': '48', 'storage_devices.0.size': '250059350016', 'architecture.platform_type': 'x86_64', 'architecture.smp_size': '2', 'node_type': 'compute_haswell', 'placement.rack': 1}",compute_haswell
2018-08-29 12:37:18,101047038.0,447c6a1c415ee269769f71fae4dc1e04,DISABLE,"{'architecture.smp_size': '2', 'storage_devices.0.size': '250059350016', 'architecture.platform_type': 'x86_64', 'main_memory.ram_size': '134956859392', 'node_type': 'compute_haswell', 'architecture.smt_size': '48', 'placement.rack': 0}",compute_haswell
2018-09-12 17:56:05,102275765.0,41b3971505830bbe2ef045634274d470,UPDATE,"{'placement.rack': 6, 'architecture.platform_type': 'x86_64', 'architecture.smp_size': '2', 'main_memory.ram_size': '137438953472', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'node_type': 'compute_haswell'}",compute_haswell
2018-09-12 19:02:15,102279735.0,11b4ea753995897598648802598197d5,UPDATE,"{'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64', 'node_type': 'compute_haswell', 'main_memory.ram_size': '137438953472', 'placement.rack': 8, 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48'}",compute_haswell
2018-09-17 18:16:10,102708970.0,8418f33a9b838bb7292b0e17c01adfb1,DISABLE,"{'node_type': 'compute_haswell', 'architecture.smp_size': '2', 'placement.rack': 1, 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'main_memory.ram_size': '134956859392'}",compute_haswell
2018-09-19 16:50:59,102876659.0,a64ca09fb7c53126cbb4dd579f972482,ENABLE,"{'node_type': 'compute_haswell', 'placement.rack': 0, 'main_memory.ram_size': '134956859392', 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'architecture.smp_size': '2', 'architecture.smt_size': '48'}",compute_haswell
2018-09-25 04:24:33,103350273.0,a73104df5d6859706ecfbab56df78f29,DISABLE,"{'architecture.smt_size': '48', 'architecture.smp_size': '2', 'placement.rack': 1, 'architecture.platform_type': 'x86_64', 'node_type': 'compute_haswell', 'main_memory.ram_size': '134956859392', 'storage_devices.0.size': '250059350016'}",compute_haswell
2018-09-25 04:54:49,103352089.0,8418f33a9b838bb7292b0e17c01adfb1,ENABLE,"{'node_type': 'compute_haswell', 'architecture.smp_size': '2', 'placement.rack': 1, 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'main_memory.ram_size': '134956859392'}",compute_haswell
2018-09-25 04:56:41,103352201.0,765499e152b096d538d9f2a68e388048,DISABLE,"{'main_memory.ram_size': '134956859392', 'node_type': 'compute_haswell', 'architecture.smt_size': '48', 'placement.rack': 0, 'storage_devices.0.size': '250059350016', 'architecture.platform_type': 'x86_64', 'architecture.smp_size': '2'}",compute_haswell
2018-09-28 13:38:10,103642690.0,692c00d233d36b9e9e466286662c0423,DISABLE,"{'node_type': 'compute_haswell', 'architecture.smt_size': '48', 'main_memory.ram_size': '134956859392', 'architecture.smp_size': '2', 'placement.rack': 0, 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016'}",compute_haswell
2018-10-05 15:39:18,104254758.0,765499e152b096d538d9f2a68e388048,ENABLE,"{'main_memory.ram_size': '134956859392', 'node_type': 'compute_haswell', 'architecture.smt_size': '48', 'placement.rack': 0, 'storage_devices.0.size': '250059350016', 'architecture.platform_type': 'x86_64', 'architecture.smp_size': '2'}",compute_haswell
2018-10-05 15:39:29,104254769.0,692c00d233d36b9e9e466286662c0423,ENABLE,"{'node_type': 'compute_haswell', 'architecture.smt_size': '48', 'main_memory.ram_size': '134956859392', 'architecture.smp_size': '2', 'placement.rack': 0, 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016'}",compute_haswell
2018-10-05 19:45:03,104269503.0,564587403da1c5e22eeda24eae36040f,ENABLE,"{'architecture.platform_type': 'x86_64', 'placement.rack': 0, 'main_memory.ram_size': '134956859392', 'architecture.smt_size': '48', 'storage_devices.0.size': '250059350016', 'architecture.smp_size': '2', 'node_type': 'compute_haswell'}",compute_haswell
