EVENT_TIME,EVENT_TIME_SEC,HOST_NAME (PHYSICAL),EVENT,PROPERTIES
2018-03-14T15:39:50,86542790.0,2719b5e91a1a1067505666ccf17f5bcc,UPDATE,"{'placement.rack': 6, 'architecture.platform_type': 'x86_64', 'architecture.smt_size': '48', 'main_memory.ram_size': '134956859392', 'architecture.smp_size': '2', 'storage_devices.0.size': '250059350016', 'node_type': 'compute_haswell'}"
2015-06-26T20:51:52,852712.0,35f90689df631398c602d62425910473,CREATE,"{'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'main_memory.ram_size': '134956859392', 'architecture.platform_type': 'x86_64', 'placement.rack': 4}"
2018-03-14T15:39:50,86542790.0,35f90689df631398c602d62425910473,UPDATE,"{'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'main_memory.ram_size': '137438953472', 'architecture.platform_type': 'x86_64', 'placement.rack': 4, 'node_type': 'compute_haswell'}"
2016-11-23T13:46:56,45409616.0,88d5b00ac3e4f1e7e0b35b1583393494,CREATE,"{'node_type': 'moonshot', 'placement.rack': None}"
2018-03-14T15:39:51,86542791.0,88d5b00ac3e4f1e7e0b35b1583393494,UPDATE,"{'architecture.platform_type': 'x86_64', 'main_memory.ram_size': '33285996544', 'architecture.smt_size': '8', 'storage_devices.0.size': '32011628544', 'node_type': 'atom', 'architecture.smp_size': '1', 'placement.rack': 1}"
2015-06-26T20:51:57,852717.0,8dd3265ca1a1dc593be3f7f0188d95b6,CREATE,"{'placement.rack': 5, 'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '134956859392', 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64'}"
2018-03-14T15:39:51,86542791.0,8dd3265ca1a1dc593be3f7f0188d95b6,UPDATE,"{'node_type': 'compute_haswell', 'storage_devices.0.size': '250059350016', 'placement.rack': 5, 'main_memory.ram_size': '137438953472', 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64'}"
2015-06-26T20:52:03,852723.0,ff34c619f102fda07aae285c9b4515eb,CREATE,"{'placement.rack': 5, 'main_memory.ram_size': '134956859392', 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016'}"
2018-03-14T15:39:51,86542791.0,ff34c619f102fda07aae285c9b4515eb,UPDATE,"{'main_memory.ram_size': '134956859392', 'architecture.smt_size': '48', 'placement.rack': 5, 'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64', 'node_type': 'compute_haswell', 'storage_devices.0.size': '250059350016'}"
2018-02-16T19:30:53,84310253.0,41ef5265bfa2884894151682215581fd,CREATE,"{'main_memory.ram_size': '205084688384', 'node_type': 'compute_skylake', 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'placement.rack': 3, 'storage_devices.0.size': '240057409536', 'architecture.platform_type': 'x86_64'}"
2015-07-28T14:38:39,3595119.0,fcd7da63df6890005ef0f51276a3cfb8,CREATE,"{'placement.rack': 6, 'architecture.smp_size': '2', 'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '134956859392', 'architecture.smt_size': '48', 'architecture.platform_type': 'x86_64'}"
2018-03-14T15:39:51,86542791.0,fcd7da63df6890005ef0f51276a3cfb8,UPDATE,"{'node_type': 'compute_haswell', 'architecture.smp_size': '2', 'storage_devices.0.size': '250059350016', 'placement.rack': 6, 'main_memory.ram_size': '137438953472', 'architecture.smt_size': '48', 'architecture.platform_type': 'x86_64'}"
2015-06-26T20:52:09,852729.0,9e4cb377ee3ff1afa7eb944ac8c98e8a,CREATE,"{'architecture.smp_size': '2', 'placement.rack': 5, 'architecture.platform_type': 'x86_64', 'main_memory.ram_size': '134956859392', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48'}"
2018-03-14T15:39:51,86542791.0,9e4cb377ee3ff1afa7eb944ac8c98e8a,UPDATE,"{'placement.rack': 5, 'architecture.smp_size': '2', 'node_type': 'compute_haswell', 'architecture.platform_type': 'x86_64', 'main_memory.ram_size': '134956859392', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48'}"
2018-02-16T19:20:15,84309615.0,146ead99ebc9f612ff47ce4ee905e8ca,CREATE,"{'storage_devices.0.size': '240057409536', 'architecture.smp_size': '2', 'node_type': 'compute_skylake', 'architecture.platform_type': 'x86_64', 'main_memory.ram_size': '205084688384', 'placement.rack': 3, 'architecture.smt_size': '48'}"
