lease_id,project_id,user_id,created_at,deleted_at,start_on,end_on,status,node_cnt,reserve_conditions,reserve_count_range,node_type,action,trace_time
a3dcd6fda0f937861c263b7e1d124735,d79a64ad06b4569c01b79595b62207fb,99b54d1d4e70e31f2c092dcec7e5e3b8,2018-03-16 01:30:18,2018-03-16 01:31:15,2018-03-16 01:31:00,2018-03-16 02:31:00,active,1,"[""="", ""$node_type"", ""compute_haswell""]",1-1,compute_haswell,start,2018-03-16 01:31:00
a3dcd6fda0f937861c263b7e1d124735,d79a64ad06b4569c01b79595b62207fb,99b54d1d4e70e31f2c092dcec7e5e3b8,2018-03-16 01:30:18,2018-03-16 01:31:15,2018-03-16 01:31:00,2018-03-16 02:31:00,active,1,"[""="", ""$node_type"", ""compute_haswell""]",1-1,compute_haswell,stop,2018-03-16 02:31:00
da61c9adc98bbeb2a8246e1d24628e34,a956639e292fd1679669a9507e4cd0c9,45b7d90a39ea685ec4fcba668a70cebd,2018-03-16 03:02:19,2018-03-16 03:03:16,2018-03-16 03:03:00,2018-03-16 04:03:00,active,1,"[""="", ""$node_type"", ""compute_haswell""]",1-1,compute_haswell,start,2018-03-16 03:03:00
da61c9adc98bbeb2a8246e1d24628e34,a956639e292fd1679669a9507e4cd0c9,45b7d90a39ea685ec4fcba668a70cebd,2018-03-16 03:02:19,2018-03-16 03:03:16,2018-03-16 03:03:00,2018-03-16 04:03:00,active,1,"[""="", ""$node_type"", ""compute_haswell""]",1-1,compute_haswell,stop,2018-03-16 04:03:00
e540ac5120714854b098527b35c575aa,d79a64ad06b4569c01b79595b62207fb,99b54d1d4e70e31f2c092dcec7e5e3b8,2018-03-16 04:30:16,2018-03-16 04:31:23,2018-03-16 04:31:00,2018-03-16 05:31:00,active,1,"[""="", ""$node_type"", ""compute_haswell""]",1-1,compute_haswell,start,2018-03-16 04:31:00
4f17b9ef71705e0aa2de061080a9b54a,c3d8104ab30dae88b9bc52fee39e99e4,88afa6d94506398c87fb78389a97d6ee,2018-03-15 21:35:02,2018-03-15 21:43:48,2018-03-15 21:36:00,2018-03-16 04:59:00,active,3,"[""=="",""$node_type"",""compute_haswell""]",3-3,compute_haswell,stop,2018-03-16 04:59:00
10a86c124970bef71f9c4a721ce87a02,a956639e292fd1679669a9507e4cd0c9,45b7d90a39ea685ec4fcba668a70cebd,2018-03-16 05:27:34,2018-03-16 05:40:58,2018-03-16 05:28:00,2018-03-16 05:57:00,active,1,"[""="", ""$node_type"", ""compute_haswell""]",1-1,compute_haswell,start,2018-03-16 05:28:00
e540ac5120714854b098527b35c575aa,d79a64ad06b4569c01b79595b62207fb,99b54d1d4e70e31f2c092dcec7e5e3b8,2018-03-16 04:30:16,2018-03-16 04:31:23,2018-03-16 04:31:00,2018-03-16 05:31:00,active,1,"[""="", ""$node_type"", ""compute_haswell""]",1-1,compute_haswell,stop,2018-03-16 05:31:00
65d0bb02e0fb1531eb09dfda7ca8533d,d79a64ad06b4569c01b79595b62207fb,99b54d1d4e70e31f2c092dcec7e5e3b8,2018-03-16 05:46:03,2018-03-16 05:58:55,2018-03-16 05:46:00,2018-03-16 06:15:00,active,1,"[""="", ""$node_type"", ""compute_haswell""]",1-1,compute_haswell,start,2018-03-16 05:46:00
681f6a2f900fdb19c98f5b2da2ee7154,a956639e292fd1679669a9507e4cd0c9,45b7d90a39ea685ec4fcba668a70cebd,2018-03-16 05:51:59,2018-03-16 06:02:07,2018-03-16 05:53:00,2018-03-16 06:23:00,active,1,"[""="", ""$node_type"", ""compute_haswell""]",1-1,compute_haswell,start,2018-03-16 05:53:00
